season,utcDate,matchday,homeTeam,awayTeam,homeScore,awayScore,winner
2023,2023-11-11T14:30:00Z,11,VfB Stuttgart,Borussia Dortmund,2,1,HOME_TEAM
2023,2023-11-11T14:30:00Z,11,SV Darmstadt 98,1. FSV Mainz 05,0,0,DRAW
2023,2023-11-11T17:30:00Z,11,VfL Bochum 1848,1. FC Köln,1,1,DRAW
2023,2023-11-12T14:30:00Z,11,Bayer 04 Leverkusen,1. FC Union Berlin,4,0,HOME_TEAM
2023,2023-11-12T16:30:00Z,11,SV Werder Bremen,Eintracht Frankfurt,2,2,DRAW
2023,2023-11-12T18:30:00Z,11,RB Leipzig,SC Freiburg,3,1,HOME_TEAM
2023,2023-11-24T19:30:00Z,12,1. FC Köln,FC Bayern München,0,1,AWAY_TEAM
2023,2023-11-25T14:30:00Z,12,Borussia Dortmund,Borussia Mönchengladbach,4,2,HOME_TEAM
2023,2023-11-25T14:30:00Z,12,1. FC Union Berlin,FC Augsburg,1,1,DRAW
2023,2023-11-25T14:30:00Z,12,SC Freiburg,SV Darmstadt 98,1,1,DRAW
2023,2023-11-25T14:30:00Z,12,VfL Wolfsburg,RB Leipzig,2,1,HOME_TEAM
2023,2023-11-25T14:30:00Z,12,SV Werder Bremen,Bayer 04 Leverkusen,0,3,AWAY_TEAM
2023,2023-11-25T17:30:00Z,12,Eintracht Frankfurt,VfB Stuttgart,1,2,AWAY_TEAM
2023,2023-11-26T14:30:00Z,12,1. FC Heidenheim 1846,VfL Bochum 1848,0,0,DRAW
2023,2023-11-26T16:30:00Z,12,TSG 1899 Hoffenheim,1. FSV Mainz 05,1,1,DRAW
2023,2023-12-01T19:30:00Z,13,SV Darmstadt 98,1. FC Köln,0,1,AWAY_TEAM
2023,2023-12-02T14:30:00Z,13,RB Leipzig,1. FC Heidenheim 1846,2,1,HOME_TEAM
2023,2023-12-02T14:30:00Z,13,Borussia Mönchengladbach,TSG 1899 Hoffenheim,2,1,HOME_TEAM
2023,2023-12-02T14:30:00Z,13,VfL Bochum 1848,VfL Wolfsburg,3,1,HOME_TEAM
2023,2023-12-02T17:30:00Z,13,VfB Stuttgart,SV Werder Bremen,2,0,HOME_TEAM
2023,2023-12-03T14:30:00Z,13,1. FSV Mainz 05,SC Freiburg,0,1,AWAY_TEAM
2023,2023-12-03T16:30:00Z,13,Bayer 04 Leverkusen,Borussia Dortmund,1,1,DRAW
